,Country.of.Origin,Country.of.OriginR,Region.Name,RegionR,Processing.Method,Processing.MethodR,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,altitude_mean_meters
339,Colombia,1,South America,3,Washed / Wet,0,7.67,7.75,7.58,7.67,7.75,7.58,10.0,10.0,10.0,7.58,83.58,1775.0
340,Mexico,4,Mexico,4,Washed / Wet,0,7.75,7.75,7.58,7.58,7.5,7.67,10.0,10.0,10.0,7.75,83.58,1200.0
341,Ethiopia,0,Africa,0,Washed / Wet,0,7.75,7.67,7.58,7.67,7.5,7.67,10.0,10.0,10.0,7.75,83.58,1850.0
342,Uganda,6,Africa,0,Washed / Wet,0,7.67,7.67,7.42,7.75,7.75,7.67,10.0,10.0,10.0,7.67,83.58,1800.0
343,Colombia,1,South America,3,Natural / Dry,1,7.67,7.58,7.67,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.58,1600.0
344,Colombia,1,South America,3,Washed / Wet,0,7.67,7.58,7.67,7.58,7.67,7.75,10.0,10.0,10.0,7.67,83.58,1550.0
345,Colombia,1,South America,3,Washed / Wet,0,7.75,7.58,7.5,7.58,7.75,7.83,10.0,10.0,10.0,7.58,83.58,1550.0
346,Taiwan,7,Asia,2,Other,4,7.75,7.75,7.75,7.75,7.5,7.58,10.0,10.0,10.0,7.5,83.58,1000.0
347,Colombia,1,South America,3,Washed / Wet,0,7.67,7.67,7.58,7.67,7.75,7.58,10.0,10.0,10.0,7.67,83.58,1775.0
348,Mexico,4,Mexico,4,Washed / Wet,0,7.83,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.67,83.58,1000.0
349,Colombia,1,South America,3,Natural / Dry,1,7.67,7.58,7.58,7.58,7.67,7.75,10.0,10.0,10.0,7.75,83.58,2136.0
350,Brazil,5,South America,3,Semi-washed / Semi-pulped,3,7.83,7.75,7.5,7.75,7.5,7.58,10.0,10.0,10.0,7.67,83.58,1100.0
351,Colombia,1,South America,3,Washed / Wet,0,7.75,7.58,7.58,7.75,7.75,7.5,10.0,10.0,10.0,7.58,83.5,1799.0
353,Costa Rica,3,Central America,1,Washed / Wet,0,7.92,7.42,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.83,83.5,1850.0
354,Colombia,1,South America,3,Natural / Dry,1,7.75,7.58,7.58,7.5,7.75,7.75,10.0,10.0,10.0,7.58,83.5,1000.0
355,Guatemala,11,Central America,1,Washed / Wet,0,7.67,7.75,7.5,7.83,7.58,7.58,10.0,10.0,10.0,7.58,83.5,1219.2
356,Colombia,1,South America,3,Washed / Wet,0,7.58,7.58,7.58,7.58,7.75,7.67,10.0,10.0,10.0,7.75,83.5,1775.0
357,"Tanzania, United Republic Of",15,Africa,0,Washed / Wet,0,7.75,7.67,7.58,7.67,7.67,7.58,10.0,10.0,10.0,7.58,83.5,1400.0
358,Indonesia,14,Asia,2,Semi-washed / Semi-pulped,3,7.25,7.67,7.58,7.92,7.83,7.58,10.0,10.0,10.0,7.67,83.5,1500.0
359,Ethiopia,0,Africa,0,Natural / Dry,1,7.67,7.75,7.5,7.58,7.75,7.67,10.0,10.0,10.0,7.58,83.5,1600.0
361,Colombia,1,South America,3,Washed / Wet,0,8.0,7.58,7.25,7.58,7.92,7.58,10.0,10.0,10.0,7.58,83.5,1850.0
362,Guatemala,11,Central America,1,Washed / Wet,0,7.58,7.75,7.5,7.83,7.42,7.67,10.0,10.0,10.0,7.75,83.5,1400.0
363,Colombia,1,South America,3,Washed / Wet,0,7.75,7.58,7.33,7.5,7.83,7.83,10.0,10.0,10.0,7.67,83.5,1650.0
364,Honduras,16,Central America,1,Natural / Dry,1,7.67,7.5,7.67,7.5,7.67,7.67,10.0,10.0,10.0,7.83,83.5,1350.0
365,Colombia,1,South America,3,Washed / Wet,0,7.58,7.75,7.42,7.67,7.75,7.67,10.0,10.0,10.0,7.67,83.5,1750.0
366,Colombia,1,South America,3,Washed / Wet,0,7.58,7.67,7.58,7.75,7.58,7.75,10.0,10.0,10.0,7.58,83.5,1750.0
367,Mexico,4,Mexico,4,Natural / Dry,1,7.83,7.58,7.25,7.5,7.5,7.42,10.0,10.0,10.0,8.42,83.5,1170.0
