Country.of.Origin,Region.Name,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,altitude_mean_meters
Guatemala,Central America,Washed / Wet,7.83,7.67,7.17,7.33,7.5,7.67,10,10,10,7.33,82.5,1310.64
Mexico,Mexico,Washed / Wet,7.5,7.58,7.5,7.5,7.42,7.42,10,10,10,7.58,82.5,1679
Mexico,Mexico,Washed / Wet,7.67,7.5,7.33,7.67,7.5,7.33,10,10,10,7.5,82.5,1100
Mexico,Mexico,Semi-washed / Semi-pulped,7.92,7.5,7.33,7.58,7.25,7.42,10,10,10,7.5,82.5,1650
Brazil,South America,Semi-washed / Semi-pulped,7.67,7.42,7.33,7.67,7.5,7.5,10,10,10,7.42,82.5,1250
Colombia,South America,Washed / Wet,7.67,7.5,7.33,7.5,7.25,7.67,10,10,10,7.58,82.5,1775
Honduras,Central America,Washed / Wet,7.42,7.67,7.17,7.58,7.58,7.5,10,10,10,7.5,82.42,1500
Guatemala,Central America,Washed / Wet,7.58,7.5,7.33,7.75,7.33,7.5,10,10,10,7.42,82.42,1700
Guatemala,Central America,Washed / Wet,7.67,7.58,7.25,7.67,7.42,7.33,10,10,10,7.5,82.42,1700
Guatemala,Central America,Washed / Wet,7.58,7.5,7.25,7.67,7.5,7.5,10,10,10,7.42,82.42,157.8864
Colombia,South America,Washed / Wet,5.08,7.75,7.83,7.75,7.83,8.08,10,10,10,8.08,82.42,1600
China,Asia,Washed / Wet,7.67,7.42,7.42,7.5,7.42,7.42,10,10,10,7.58,82.42,1600
"Tanzania, United Republic Of",Africa,Washed / Wet,7.67,7.25,7.42,7.42,7.67,7.42,10,10,10,7.58,82.42,2285
Brazil,South America,Natural / Dry,7.17,7.83,7.33,7.5,7.75,7.42,10,10,10,7.42,82.42,1
Guatemala,Central America,Washed / Wet,7.5,7.5,7.5,7.67,7.42,7.5,10,10,10,7.33,82.42,1400
Mexico,Mexico,Washed / Wet,7.42,7.5,7.42,7.58,7.42,7.5,10,10,10,7.58,82.42,1296
Brazil,South America,Semi-washed / Semi-pulped,7.58,7.67,7.33,7.5,7.5,7.42,10,10,10,7.42,82.42,1000
Brazil,South America,Natural / Dry,7.25,7.33,7.25,7.5,7.42,7.5,10,10,10,8.17,82.42,1260
Mexico,Mexico,Washed / Wet,7.5,7.58,7.5,7.92,7.42,7.67,9.33,10,10,7.5,82.42,1170
Colombia,South America,Washed / Wet,7.67,7.42,7.33,7.5,7.58,7.5,10,10,10,7.42,82.42,1775
Mexico,Mexico,Washed / Wet,7.5,7.42,7.42,7.67,7.42,7.58,10,10,10,7.42,82.42,1560
Mexico,Mexico,Semi-washed / Semi-pulped,7.42,7.58,7.5,7.42,7.58,7.5,10,10,10,7.42,82.42,1400
Mexico,Mexico,Washed / Wet,7.42,7.58,7.33,7.58,7.5,7.5,10,10,10,7.5,82.42,1300
Mexico,Mexico,Washed / Wet,7.75,7.33,7.25,7.58,7.58,7.33,10,10,10,7.58,82.42,1170
Mexico,Mexico,Washed / Wet,7.5,7.58,7.33,7.5,7.5,7.5,10,10,10,7.5,82.42,1300
Mexico,Mexico,Washed / Wet,7.58,7.58,7.17,7.5,7.5,7.5,10,10,10,7.58,82.42,1350
Mexico,Mexico,Washed / Wet,7.58,7.33,7.33,7.58,7.5,7.5,10,10,10,7.58,82.42,1150
Mexico,Mexico,Washed / Wet,7.67,7.58,7.33,7.42,7.58,7.33,10,10,10,7.5,82.42,1250
Mexico,Mexico,Washed / Wet,7.83,7.5,7.42,7.67,7.17,7.33,10,10,10,7.5,82.42,1450
Colombia,South America,Natural / Dry,7.67,7.33,7.25,7.42,7.5,7.67,10,10,10,7.58,82.42,442
Colombia,South America,Washed / Wet,7.33,7.58,7.17,7.58,7.42,7.58,10,10,10,7.75,82.42,1750
Honduras,Central America,Washed / Wet,7.5,7.58,7.33,7.5,7.42,7.42,10,10,10,7.58,82.33,1396
Brazil,South America,Natural / Dry,7.33,7.5,7.5,7.33,7.5,7.5,10,10,10,7.67,82.33,982
Brazil,South America,Natural / Dry,7.5,7.5,7.42,7.5,7.42,7.5,10,10,10,7.5,82.33,934
Costa Rica,Central America,Washed / Wet,7.75,7.5,7.25,7.25,7.42,7.67,10,10,10,7.5,82.33,1850
Costa Rica,Central America,Washed / Wet,7.75,7.33,7.5,7.5,7.33,7.58,10,10,10,7.33,82.33,1550
China,Asia,Pulped natural / honey,7.5,7.58,7.42,7.5,7.42,7.42,10,10,10,7.5,82.33,1580
Brazil,South America,Natural / Dry,8.25,7.83,7.25,8.33,8.17,8.08,10,6.67,10,7.75,82.33,1268
Guatemala,Central America,Washed / Wet,7.5,7.42,7.17,7.83,7.5,7.5,10,10,10,7.42,82.33,1676.4
Malawi,Africa,Washed / Wet,7.33,7.58,7.42,7.58,7.33,7.5,10,10,10,7.58,82.33,1450
Brazil,South America,Natural / Dry,7.75,8.08,7.67,8.08,8.08,8,10,10,6.67,8,82.33,1100
Guatemala,Central America,Washed / Wet,7.58,7.67,7.5,7.58,7.75,7.5,9.33,10,10,7.42,82.33,1524
Colombia,South America,Washed / Wet,7.42,7.33,7.5,7.17,7.08,8.33,10,10,10,7.5,82.33,1300
Taiwan,Asia,Semi-washed / Semi-pulped,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.33,82.33,200
Taiwan,Asia,Washed / Wet,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.33,82.33,600
Guatemala,Central America,Washed / Wet,7.5,7.42,7.58,7.5,7.5,7.58,10,10,10,7.25,82.33,1310.64
Colombia,South America,Washed / Wet,7.5,7.42,7.5,7.5,7.5,7.58,10,10,10,7.33,82.33,1750
Mexico,Mexico,Washed / Wet,7.67,7.5,7.42,7.5,7.42,7.42,10,10,10,7.42,82.33,1300
Guatemala,Central America,Washed / Wet,7.67,7.5,7.33,7.67,7.5,7.33,10,10,10,7.33,82.33,1752.6
Mexico,Mexico,Natural / Dry,7.58,7.67,7.58,7.33,7,7.58,10,10,10,7.58,82.33,441
Mexico,Mexico,Washed / Wet,7.67,7.58,7.5,7.58,7.5,7.5,10,10,10,7,82.33,1170
Guatemala,Central America,Washed / Wet,7.5,7.67,7.33,7.5,7.33,7.5,10,10,10,7.5,82.33,1310.64
Brazil,South America,Natural / Dry,7.58,7.5,7.42,7.5,7.5,7.42,10,10,10,7.42,82.33,1100
Mexico,Mexico,Washed / Wet,8,7.75,7.33,7.33,7.08,7.67,9.33,10,10,7.83,82.33,1300
Brazil,South America,Washed / Wet,7.58,7.58,7.25,7.58,7.42,7.5,10,10,10,7.42,82.33,950
Colombia,South America,Natural / Dry,7.83,7.58,7.33,7.25,7.58,7.42,10,10,10,7.33,82.33,442
Brazil,South America,Washed / Wet,7.58,7.5,7.25,7.42,7.67,7.33,10,10,10,7.5,82.25,1100
Guatemala,Central America,Washed / Wet,7.67,7.5,7.25,7.67,7.42,7.42,10,10,10,7.33,82.25,1450
Brazil,South America,Natural / Dry,7.42,7.67,7.5,7.08,7.5,7.42,10,10,10,7.67,82.25,1
El Salvador,Central America,Washed / Wet,7.58,7.67,7.5,7.67,7.83,8.42,9.33,9.33,9.33,7.58,82.25,1500
Honduras,Central America,Washed / Wet,7.58,7.5,7.42,7.58,7.42,7.42,10,10,10,7.33,82.25,1350
Malawi,Africa,Washed / Wet,7.58,7.42,7.33,7.42,7.58,7.5,10,10,10,7.42,82.25,1180
Brazil,South America,Natural / Dry,7.75,7.58,7.42,7.42,7.33,7.33,10,10,10,7.42,82.25,1100
Taiwan,Asia,Washed / Wet,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.25,82.25,650
Mexico,Mexico,Washed / Wet,7.58,7.58,7.42,7.42,7.42,7.42,10,10,10,7.42,82.25,1338
Mexico,Mexico,Washed / Wet,7.58,7.58,7.5,7.17,7.42,7.42,10,10,10,7.58,82.25,533
Guatemala,Central America,Washed / Wet,7.5,7.5,7.33,7.58,7.67,7.33,10,10,10,7.33,82.25,1390.8024
Mexico,Mexico,Washed / Wet,7.5,7.58,7.42,7.67,7.33,7.42,10,10,10,7.33,82.25,1170
Mexico,Mexico,Washed / Wet,7.67,7.58,7.33,7.5,7.42,7.42,10,10,10,7.33,82.25,1250
Mexico,Mexico,Washed / Wet,7.33,7.58,7.42,7.67,7.33,7.5,10,10,10,7.42,82.25,1100
Mexico,Mexico,Washed / Wet,7.42,7.5,7.42,7.58,7.42,7.5,10,10,10,7.42,82.25,900
Colombia,South America,Washed / Wet,7.5,7.42,7.67,7.33,7.58,7.33,10,10,10,7.42,82.25,1750
Colombia,South America,Washed / Wet,7.67,7.33,7.33,7.33,7.5,7.5,10,10,10,7.58,82.25,1775
Brazil,South America,Natural / Dry,7.42,7.42,7.5,7.42,7.42,7.5,10,10,10,7.5,82.17,934
Honduras,Central America,Washed / Wet,7.5,7.5,7.17,7.42,7.5,7.5,10,10,10,7.58,82.17,1500
"Tanzania, United Republic Of",Africa,Washed / Wet,7.58,7.42,7.42,7.33,7.5,7.42,10,10,10,7.5,82.17,1650
"Tanzania, United Republic Of",Africa,Washed / Wet,7.42,7.42,7.42,7.5,7.5,7.33,10,10,10,7.58,82.17,1600
Brazil,South America,Natural / Dry,6.92,7.58,7.42,7.33,7.83,7.5,10,10,10,7.58,82.17,1
Thailand,Asia,Washed / Wet,7.42,7.42,7.17,7.75,7.25,7.67,10,10,10,7.5,82.17,800
Honduras,Central America,Washed / Wet,7.67,7.5,7.25,7.42,7.58,7.42,10,10,10,7.33,82.17,1350
Guatemala,Central America,Washed / Wet,7.42,7.42,7.5,7.5,7.42,7.5,10,10,10,7.42,82.17,1500
"Tanzania, United Republic Of",Africa,Washed / Wet,7.75,7.42,7.42,7.58,7.33,7.42,10,10,10,7.25,82.17,1700
Mexico,Mexico,Washed / Wet,7.42,7.33,7.17,7.42,7.33,8.17,10,10,10,7.33,82.17,1100
Mexico,Mexico,Washed / Wet,7.5,7.5,7.33,7.42,7.5,7.42,10,10,10,7.5,82.17,1400
Taiwan,Asia,Other,7.5,7.5,7.5,7.5,7.5,7.5,10,10,10,7.17,82.17,1200
Taiwan,Asia,Washed / Wet,7.67,7.5,7.5,7.17,7.17,7.58,10,10,10,7.58,82.17,800
Colombia,South America,Washed / Wet,7.33,7.25,7.25,7.58,7.75,7.5,10,10,10,7.5,82.17,1750
Mexico,Mexico,Washed / Wet,7.5,7.67,7,7.5,7.33,7.5,10,10,10,7.67,82.17,1144
Guatemala,Central America,Washed / Wet,7.25,7.75,7,7.75,8.17,7.75,10,10,9.33,7.17,82.17,1350
Mexico,Mexico,Washed / Wet,7.5,7.58,7.25,7.5,7.5,7.33,10,10,10,7.5,82.17,1000
Mexico,Mexico,Washed / Wet,7,7.67,7.5,7.5,7.42,7.5,10,10,10,7.58,82.17,1200
Indonesia,Asia,Washed / Wet,7.5,7.5,7.42,7.42,7.5,7.42,10,10,10,7.33,82.08,1300
Brazil,South America,Natural / Dry,7.42,7.58,7.42,7.5,7.42,7.25,10,10,10,7.5,82.08,894
Brazil,South America,Natural / Dry,7.25,7.25,7.58,7.58,7.25,7.92,10,10,10,7.25,82.08,1
Costa Rica,Central America,Washed / Wet,7.75,7.42,7.42,7.25,7.17,7.42,10,10,10,7.67,82.08,1300
"Tanzania, United Republic Of",Africa,Washed / Wet,7.42,7.33,7.42,7.42,7.5,7.58,10,10,10,7.42,82.08,1500
"Tanzania, United Republic Of",Africa,Washed / Wet,7.42,7.5,7.5,7.33,7.33,7.5,10,10,10,7.5,82.08,1600
Costa Rica,Central America,Washed / Wet,7.58,7.33,7.33,7.33,7.5,7.67,10,10,10,7.33,82.08,13
Mexico,Mexico,Washed / Wet,7.42,7.58,7.5,7.33,7.42,7.42,10,10,10,7.42,82.08,1300
Mexico,Mexico,Washed / Wet,7.5,7.42,7.42,7.5,7.25,7.5,10,10,10,7.5,82.08,1800
Mexico,Mexico,Washed / Wet,7.67,7.5,7.25,7.58,7.42,7.33,10,10,10,7.33,82.08,1250
Vietnam,Asia,Natural / Dry,7.67,8,7.17,7.08,7.67,7.08,10,10,10,7.42,82.08,1040
Mexico,Mexico,Washed / Wet,7.58,7.42,7.25,7.75,7.33,7.42,10,10,10,7.33,82.08,1250
Honduras,Central America,Washed / Wet,7.5,7.5,7.17,7.5,7.5,7.42,10,10,10,7.42,82,1600
Honduras,Central America,Natural / Dry,7.5,7.5,7.25,7.33,7.42,7.5,10,10,10,7.5,82,1600
Brazil,South America,Natural / Dry,7.5,7.33,7.42,7.5,7.33,7.42,10,10,10,7.5,82,944
"Tanzania, United Republic Of",Africa,Washed / Wet,7.67,7.33,7.33,7.42,7.42,7.42,10,10,10,7.42,82,1650
Laos,Asia,Washed / Wet,7.42,7.5,7.25,7.33,7.5,7.5,10,10,10,7.5,82,1250
"Tanzania, United Republic Of",Africa,Washed / Wet,7.42,7.42,7.33,7.58,7.33,7.42,10,10,10,7.5,82,1350
Malawi,Africa,Washed / Wet,7.5,7.42,7.33,7.58,7.33,7.5,10,10,10,7.33,82,2500
Taiwan,Asia,Washed / Wet,7.33,7.5,7.17,7.42,7.5,7.33,10,10,10,7.75,82,600
Thailand,Asia,Washed / Wet,7.58,7.5,7.42,7.42,7.33,7.42,10,10,10,7.33,82,800
Costa Rica,Central America,Washed / Wet,7.5,7.25,7.33,7.33,7.75,7.5,10,10,10,7.33,82,1300
Honduras,Central America,Washed / Wet,7.33,7.33,7.33,7.5,7.5,7.83,10,10,10,7.17,82,1400
Colombia,South America,Washed / Wet,7.33,7.33,7.58,7.5,7.5,7.58,10,10,10,7.17,82,1900
Taiwan,Asia,Washed / Wet,7.42,7.58,7.33,7.42,8,7.5,9.33,10,10,7.42,82,650
Brazil,South America,Natural / Dry,7.33,7.67,7.42,7.17,7.33,7.42,10,10,10,7.67,82,1038.5
Mexico,Mexico,Washed / Wet,7.67,7.33,7.25,7.5,7.42,7.42,10,10,10,7.42,82,940
Brazil,South America,Natural / Dry,7.42,7.5,7.33,7.5,7.33,7.5,10,10,10,7.42,82,1000
Brazil,South America,Semi-washed / Semi-pulped,7.42,7.5,7.25,7.5,7.5,7.42,10,10,10,7.42,82,1050
Brazil,South America,Semi-washed / Semi-pulped,7.58,7.5,7.17,7.5,7.5,7.42,10,10,10,7.33,82,950
Guatemala,Central America,Washed / Wet,7.75,7.33,7.33,7.42,7.75,7.67,10,10,9.33,7.42,82,1402.08
Guatemala,Central America,Washed / Wet,7.58,7.5,7.25,7.58,7.58,7.5,9.33,10,10,7.58,81.92,1901
Guatemala,Central America,Washed / Wet,7.5,7.5,7.25,7.42,7.42,7.42,10,10,10,7.42,81.92,1219.2
Honduras,Central America,Washed / Wet,7.58,7.5,7.25,7.33,7.42,7.5,10,10,10,7.33,81.92,1400
Brazil,South America,Natural / Dry,7.42,7.33,7.33,7.5,7.5,7.33,10,10,10,7.5,81.92,1020
El Salvador,Central America,Washed / Wet,7.67,7.58,7.33,7.5,7.5,7.67,10,10,9.33,7.33,81.92,1250
Guatemala,Central America,Washed / Wet,7.58,7.58,7.17,7.83,7.17,7.33,10,10,10,7.25,81.92,1550
"Tanzania, United Republic Of",Africa,Washed / Wet,7.33,7.33,7.33,7.42,7.5,7.58,10,10,10,7.42,81.92,1877
Taiwan,Asia,Other,7.5,7.5,7.42,7.25,7.5,7.5,10,10,10,7.25,81.92,1000
Mexico,Mexico,Washed / Wet,7.58,7.5,7.25,7.58,7.5,7.25,10,10,10,7.25,81.92,1300
Mexico,Mexico,Semi-washed / Semi-pulped,7.5,7.5,7.25,7.25,7.5,7.5,10,10,10,7.42,81.92,981
Mexico,Mexico,Washed / Wet,7.5,7.42,7.25,7.5,7.33,7.33,10,10,10,7.58,81.92,690
Mexico,Mexico,Washed / Wet,7.33,7.58,7.17,7.58,7.42,7.33,10,10,10,7.5,81.92,1650
Mexico,Mexico,Washed / Wet,7.67,7.42,7.33,7.83,7.5,7.5,9.33,10,10,7.33,81.92,1000
Brazil,South America,Natural / Dry,7.42,7.58,7.25,7.5,7.33,7.5,10,10,10,7.33,81.92,1100
Guatemala,Central America,Washed / Wet,7.42,7.5,7.25,7.5,7.33,7.42,10,10,10,7.42,81.83,157.8864
Costa Rica,Central America,Pulped natural / honey,7.25,7.33,7.5,7.33,7.67,7.42,10,10,10,7.33,81.83,1900
Brazil,South America,Natural / Dry,7.42,7.5,7.42,7.5,7.42,7.25,10,10,10,7.33,81.83,973
Indonesia,Asia,Other,7.75,7.83,7.58,7.75,7.92,7.83,10,10,10,5.17,81.83,1250
Guatemala,Central America,Washed / Wet,7.58,7.5,7.33,7.42,7.58,7.25,10,10,10,7.17,81.83,3280
Brazil,South America,Natural / Dry,7.17,7.58,6.83,7.5,7.75,7.25,10,10,10,7.75,81.83,1
Brazil,South America,Natural / Dry,7.58,7,6.92,6.92,7.67,7.5,10,10,10,8.25,81.83,1
Myanmar,Asia,Washed / Wet,7.33,7.58,7.5,7.42,7.33,7.33,10,10,10,7.33,81.83,1269
Mexico,Mexico,Washed / Wet,7.58,7.5,7.33,7.5,7.17,7.33,10,10,10,7.42,81.83,1425
Honduras,Central America,Washed / Wet,7.5,7.5,7.33,7.5,7.42,7.25,10,10,10,7.33,81.83,1400
Costa Rica,Central America,Washed / Wet,7.67,7.5,7.5,7.25,7.08,7.42,10,10,10,7.42,81.83,1300
Taiwan,Asia,Washed / Wet,7.67,7.33,7.17,7.25,7.75,7.33,10,10,10,7.33,81.83,700
Indonesia,Asia,Other,7.42,7.42,7.42,7.33,7.42,7.42,10,10,10,7.42,81.83,1300
Malawi,Africa,Washed / Wet,7.58,7.42,7.33,7.33,7.33,7.42,10,10,10,7.42,81.83,1556
Brazil,South America,Natural / Dry,7.33,7.58,7.25,7.17,7.83,7.33,10,10,10,7.33,81.83,1100
Honduras,Central America,Natural / Dry,7.5,7.5,7.33,7.33,7.33,7.33,10,10,10,7.5,81.83,1350
Mexico,Mexico,Washed / Wet,7.42,7.42,7.25,7.5,7.33,7.42,10,10,10,7.5,81.83,1550
Colombia,South America,Washed / Wet,7.5,7.5,7,7.42,7.5,7.58,10,10,10,7.33,81.83,1775
Brazil,South America,Semi-washed / Semi-pulped,7.75,7.75,7.5,7.42,7.83,7.75,9.33,9.33,9.33,7.83,81.83,1250
Guatemala,Central America,Washed / Wet,7.83,7.67,7.33,7.33,7.67,7.83,9.33,10,9.33,7.5,81.83,1310.64
Mexico,Mexico,Washed / Wet,7.83,7.33,7.25,7.58,7.25,7.33,10,10,10,7.25,81.83,1500
Mexico,Mexico,Semi-washed / Semi-pulped,7.33,7.33,7.25,7.5,7.5,7.5,10,10,10,7.42,81.83,1250
Guatemala,Central America,Washed / Wet,7.5,7.5,7.25,7.42,7.42,7.33,10,10,10,7.33,81.75,1700
Vietnam,Asia,Washed / Wet,7,7.08,7.33,7.5,7.5,7.33,10,10,10,8,81.75,1040
"Tanzania, United Republic Of",Africa,Washed / Wet,7.42,7.42,7.42,7.42,7.33,7.33,10,10,10,7.42,81.75,1600
Mexico,Mexico,Washed / Wet,7.5,7.5,7.33,7.42,7.25,7.25,10,10,10,7.5,81.75,774
Mexico,Mexico,Washed / Wet,7.42,7.5,7.17,7.67,7.33,7.42,10,10,10,7.25,81.75,1250
Mexico,Mexico,Washed / Wet,7.42,7.5,7.33,7.58,7.33,7.33,10,10,10,7.25,81.75,1100
Mexico,Mexico,Washed / Wet,7.33,7.42,7.33,7.67,7.42,7.25,10,10,10,7.33,81.75,1550
Mexico,Mexico,Washed / Wet,7.5,7.42,7.25,7.33,7.67,7.25,10,10,10,7.33,81.75,1650
Colombia,South America,Washed / Wet,7.33,7.42,7.33,7.33,7.5,7.67,10,10,10,7.17,81.75,1750
Brazil,South America,Natural / Dry,7.42,7.5,7.25,7.5,7.5,7.25,10,10,10,7.25,81.67,890
Guatemala,Central America,Washed / Wet,7.42,7.42,7.08,7.42,7.33,7.42,10,10,10,7.58,81.67,1700
Guatemala,Central America,Washed / Wet,7.42,7.33,7.17,7.67,7.33,7.42,10,10,10,7.33,81.67,1219.2
Honduras,Central America,Washed / Wet,7.58,7.5,7.33,7.33,7.42,7.25,10,10,10,7.25,81.67,1450
Brazil,South America,Natural / Dry,7.25,7.75,6.92,7.42,7.5,7.58,10,10,10,7.25,81.67,1
"Tanzania, United Republic Of",Africa,Washed / Wet,7.42,7.33,7.25,7.42,7.5,7.42,10,10,10,7.33,81.67,1500
"Tanzania, United Republic Of",Africa,Washed / Wet,7.33,7.33,7.5,7.25,7.42,7.33,10,10,10,7.5,81.67,1700
Brazil,South America,Washed / Wet,7.25,7.42,7.25,7.5,7.5,7.42,10,10,10,7.33,81.67,1260
Honduras,Central America,Natural / Dry,7.5,7.33,7.5,7.5,7.17,7.17,10,10,10,7.5,81.67,1400
Costa Rica,Central America,Washed / Wet,7.5,7.17,7.17,7.17,7.5,7.08,10,10,10,8.08,81.67,1850
Taiwan,Asia,Semi-washed / Semi-pulped,7.5,7.5,7.5,7.25,7.42,7.25,10,10,10,7.25,81.67,150
Taiwan,Asia,Washed / Wet,7.58,7.42,7.33,7.42,7.33,7.33,10,10,10,7.25,81.67,750
Mexico,Mexico,Washed / Wet,7.5,7.42,7.08,7.58,7.33,7.33,10,10,10,7.42,81.67,1400
Guatemala,Central America,Washed / Wet,7.5,7.67,7.33,7.33,7.33,7.33,10,10,10,7.17,81.67,1752.6
Mexico,Mexico,Washed / Wet,7.25,7.67,7.58,7.67,7.67,7.58,8.67,10,10,7.58,81.67,1650
Mexico,Mexico,Washed / Wet,7.67,7.25,7.17,7.75,7.5,7.25,10,10,10,7.08,81.67,1400
Mexico,Mexico,Washed / Wet,7.5,7.42,7.33,7.42,7.42,7.42,10,10,10,7.17,81.67,1200
Mexico,Mexico,Washed / Wet,7.58,7.42,7.25,7.58,7.25,7.17,10,10,10,7.42,81.67,1400
Mexico,Mexico,Semi-washed / Semi-pulped,7.75,7.58,7.25,7.17,7.58,7.33,9.33,10,10,7.67,81.67,940
Honduras,Central America,Washed / Wet,7.5,7.42,7.08,7.42,7.5,7.33,10,10,10,7.33,81.58,1200
Guatemala,Central America,Washed / Wet,7.42,7.42,7.08,7.5,7.42,7.33,10,10,10,7.42,81.58,1902
Taiwan,Asia,Washed / Wet,7.42,7.42,7.25,7.67,7.33,7.25,10,10,10,7.25,81.58,800
Costa Rica,Central America,Washed / Wet,7.58,7.42,7.5,7.17,7.08,7.58,10,10,10,7.25,81.58,13
"Tanzania, United Republic Of",Africa,Washed / Wet,7.42,7.42,7.33,7.42,7.42,7.33,10,10,10,7.25,81.58,1800
Malawi,Africa,Washed / Wet,7.42,7.42,7.17,7.58,7.33,7.33,10,10,10,7.33,81.58,1100
Taiwan,Asia,Semi-washed / Semi-pulped,7.33,7.17,7.08,7.08,8.33,8.25,10,10,9.33,7,81.58,850
Brazil,South America,Washed / Wet,7.42,7.42,7.33,7.33,7.5,7.25,10,10,10,7.33,81.58,1260
Guatemala,Central America,Washed / Wet,7.42,7.33,7.17,7.58,7.42,7.5,10,10,10,7.17,81.58,1310.64
Mexico,Mexico,Washed / Wet,7.67,7.5,7.42,7.5,6.75,7.42,10,10,10,7.33,81.58,1400
Mexico,Mexico,Natural / Dry,7.33,7.5,7.25,7.5,7.5,7.17,10,10,10,7.33,81.58,1600
Mexico,Mexico,Natural / Dry,7.67,7.58,7.42,7.58,7.58,7.42,10,10,8.67,7.67,81.58,1650
Guatemala,Central America,Washed / Wet,7.67,7.58,7.17,7.42,7.33,7.42,9.33,10,10,7.58,81.5,1219.2
Nicaragua,Central America,Other,7.5,7.42,7.33,7.33,7.25,7.33,10,10,10,7.33,81.5,1100
Honduras,Central America,Washed / Wet,7.5,7.5,7.33,7.42,7.17,7.25,10,10,10,7.33,81.5,1400
Taiwan,Asia,Natural / Dry,7.5,7.42,7.33,7.08,7.58,7.25,10,10,10,7.33,81.5,180
Myanmar,Asia,Washed / Wet,7.25,7.42,7.25,7.5,7.33,7.33,10,10,10,7.42,81.5,1219.2
Costa Rica,Central America,Washed / Wet,7.83,7.33,7.08,7.08,7.33,7.5,10,10,10,7.33,81.5,1200
Malawi,Africa,Washed / Wet,7.67,7.42,6.92,7.5,7.5,7.17,10,10,10,7.33,81.5,1599
Guatemala,Central America,Washed / Wet,7.5,7.42,7.17,7.58,7.25,7.42,10,10,10,7.17,81.5,1219.2
Taiwan,Asia,Washed / Wet,7.42,7.33,7.67,7.33,7.42,7.5,10,10,9.33,7.5,81.5,900
Brazil,South America,Semi-washed / Semi-pulped,7.58,7.5,7.5,7.67,7.67,7.83,9.33,9.33,9.33,7.75,81.5,1200
Haiti,Central America,Washed / Wet,7.42,7.33,7.25,7.42,7.42,7.33,10,10,10,7.33,81.5,825
Taiwan,Asia,Other,7.5,7.42,7.25,7.25,7.33,7.33,10,10,10,7.42,81.5,600
Mexico,Mexico,Washed / Wet,7.33,7.33,7.17,7.42,7.5,7.5,10,10,10,7.25,81.5,1150
Mexico,Mexico,Washed / Wet,7.58,7.42,7.25,7.42,7.33,7.33,10,10,10,7.17,81.5,1600
Mexico,Mexico,Washed / Wet,7.42,7.25,7.17,7.42,7.17,8,10,10,10,7.08,81.5,1100
Mexico,Mexico,Semi-washed / Semi-pulped,7.33,7.5,7.33,7.33,7.33,7.42,10,10,10,7.25,81.5,1000
Mexico,Mexico,Washed / Wet,7.42,7.42,7.33,7.17,7.25,7.42,10,10,10,7.5,81.5,1250
Mexico,Mexico,Natural / Dry,7.5,7.5,7.25,7.5,7.42,7.58,9.33,10,10,7.42,81.5,1100
Indonesia,Asia,Washed / Wet,7.75,7.17,7.17,7.33,7.58,7.33,10,10,10,7.17,81.5,1400
Brazil,South America,Semi-washed / Semi-pulped,7.5,7.42,7.17,7.42,7.5,7.33,10,10,10,7.17,81.5,125
Mexico,Mexico,Washed / Wet,7.58,7.33,7.08,7.33,7.5,7.33,10,10,10,7.25,81.42,1100
Guatemala,Central America,Washed / Wet,7.42,7.33,7.08,7.58,7.33,7.25,10,10,10,7.42,81.42,1371.6
Brazil,South America,Natural / Dry,7.33,7.5,7.5,7.33,6.83,7.42,10,10,10,7.5,81.42,1100
Honduras,Central America,Washed / Wet,7.5,7.33,7.17,7.25,7.5,7.42,10,10,10,7.25,81.42,1400
Taiwan,Asia,Washed / Wet,7.83,7.75,7.42,7.17,7.08,7.08,10,10,10,7.08,81.42,110
Malawi,Africa,Washed / Wet,7.58,7.17,7.33,7.42,7.08,7.42,10,10,10,7.42,81.42,1422
Brazil,South America,Natural / Dry,7.25,7.5,7.42,7.17,7.33,7.33,10,10,10,7.42,81.42,1100
Guatemala,Central America,Washed / Wet,7.42,7.5,7.17,7.42,7.42,7.42,10,10,10,7.08,81.42,1550
Mexico,Mexico,Washed / Wet,7.67,7.33,7.25,7.17,7.25,7.42,10,10,10,7.33,81.42,1550
Guatemala,Central America,Washed / Wet,7.42,7.33,7.25,7.42,7.42,7.5,10,10,10,7.08,81.42,1310.64
Mexico,Mexico,Washed / Wet,7.42,7.33,7.25,7.17,7.25,7.42,10,10,10,7.58,81.42,763
Mexico,Mexico,Washed / Wet,7.42,7.42,7.25,7.25,7.5,7.33,10,10,10,7.25,81.42,1100
Colombia,South America,Natural / Dry,7.5,7.42,7.25,7.17,7.17,7.75,10,10,10,7.17,81.42,1750
Honduras,Central America,Washed / Wet,7.5,7.5,7,7.17,7.5,7.33,10,10,10,7.33,81.33,1500
Brazil,South America,Natural / Dry,7.25,7.33,7.33,7.33,7.33,7.42,10,10,10,7.33,81.33,1100
Honduras,Central America,Washed / Wet,7.58,7.42,7.17,7.42,7.17,7.17,10,10,10,7.42,81.33,1350
Brazil,South America,Other,7.17,7.33,7.42,7.25,7.42,7.33,10,10,10,7.42,81.33,1200
